brand,categories,cashback,tier_rates,upsized,url
1001 Optical,Eyecare; Health and Beauty,Up to 8% Cashback,,,https://www.topcashback.com.au/1001-optical/
1300 Flowers,Gifts,10% Cashback,,,https://www.topcashback.com.au/1300-flowers/
2XU,Activewear; Accessories; Fashion,4% Cashback,,,https://www.topcashback.com.au/2xu/
47 Brand,Accessories,1% Cashback,,,https://www.topcashback.com.au/47-brand/
4WD Supacentre,Cyclingtest,5% Cashback,,,https://www.topcashback.com.au/4wd-supacentre/
A Little Thing,Gifts,Up to 20% Cashback,,,https://www.topcashback.com.au/a-little-thing/
AbeBooks,Books Magazines,2% Cashback,,,https://www.topcashback.com.au/abebooks/
Above The Collar,Body and Hair; Cosmetics; Fragrances; Health and Beauty,Up to 7% Cashback,,,https://www.topcashback.com.au/above-the-collar/
Abrand Jeans,Fashion,5% Cashback,,,https://www.topcashback.com.au/abrand-jeans/
Accor Live Limitless,Accommodation,Up to 10% Cashback,,,https://www.topcashback.com.au/accor-live-limitless/
Acler,Fashion,3% Cashback,,,https://www.topcashback.com.au/acler/
Adairs,Furniture; Home and Garden,5% Cashback,,,https://www.topcashback.com.au/adairs/
Adam & Eve,Health and Beauty; Lingerie,10% Cashback,,,https://www.topcashback.com.au/adam-and-eve/
adidas,Activewear; Cyclingtest; Fashion,5% Cashback,,,https://www.topcashback.com.au/adidas/
adidas (NZ),New Zealand Brands,4% Cashback,,,https://www.topcashback.com.au/adidas-nz/
Adina Hotels,Accommodation; Experiences; Holidays,5% Cashback,,,https://www.topcashback.com.au/adina-hotels/
Adobe,Apps and Services; Contracts and PAYG; Electricals; Laptops and Computers; Mobile Phones; More Shopping; Home and Garden,Up to 65% Cashback,,,https://www.topcashback.com.au/adobe/
Adore Beauty,Health and Beauty,Up to 3% Cashback,,,https://www.topcashback.com.au/adore-beauty/
Adrenaline,Experiences; Holidays,5% Cashback,,,https://www.topcashback.com.au/adrenaline/
Adrift,Accessories; Fashion,8% Cashback,,,https://www.topcashback.com.au/adrift/
AdultToy Megastore,Health and Beauty; Lingerie; Fashion,Up to 20% Cashback,,,https://www.topcashback.com.au/adulttoy-megastore/
Adventure Kings,Fashion,5% Cashback,,,https://www.topcashback.com.au/adventure-kings/
Advwin,Furniture; Interior Decor; Home and Garden,7% Cashback,,,https://www.topcashback.com.au/advwin/
Aerre,Fragrances; Health and Beauty,Up to 10% Cashback,,,https://www.topcashback.com.au/aerre/
Agoda,Accommodation; Holidays,16% Cashback,,yes,https://www.topcashback.com.au/agoda/
aim'n,Activewear; Fashion,10% Cashback,,,https://www.topcashback.com.au/aimn/
Aiper,Home and Garden,8% Cashback,,,https://www.topcashback.com.au/aiper/
Air India,Flights; Holidays,Up to 1.7% Cashback,,,https://www.topcashback.com.au/air-india/
Air New Zealand,Flights; Holidays,1.5% Cashback,,,https://www.topcashback.com.au/air-new-zealand/
Airseekers Robotics,Garden; Home and Garden,5% Cashback,,,https://www.topcashback.com.au/airseekers-robotics/
Airtasker,Apps and Services; Contracts and PAYG; Mobile Phones,5% Cashback,,,https://www.topcashback.com.au/airtasker/
Alamour The Label,Fashion,5% Cashback,,,https://www.topcashback.com.au/alamour-the-label/
Alexandra,Fashion,8% Cashback,,,https://www.topcashback.com.au/alexandraau/
AliExpress,Delivery Services; Electricals; Home Appliances; Laptops and Computers; Credit Rating; Marketplace; More Shopping; Home and Garden,5.2% Cashback,,,https://www.topcashback.com.au/aliexpress/
All About Eve,Fashion,4% Cashback,,,https://www.topcashback.com.au/all-about-eve/
ALL Accor+,Accommodation,8% Cashback,,,https://www.topcashback.com.au/all-accor/
AllClear Travel Insurance,Insurance; Landlord Insurance,10% Cashback,,,https://www.topcashback.com.au/allclear-travel-insurance/
AllSole,Footwear,Up to 8% Cashback,,,https://www.topcashback.com.au/allsole/
Ally Fashion,Accessories; Fashion,Up to 9% Cashback,,,https://www.topcashback.com.au/ally-fashion/
Altina Drinks,Food and Drinks,10% Cashback,,,https://www.topcashback.com.au/altina-drinks/
AM Supply,Fashion; Menswear,Up to 8% Cashback,,,https://www.topcashback.com.au/am-supply/
Amazed,Experiences,8% Cashback,,,https://www.topcashback.com.au/amazed/
Amazon,Credit Rating; Marketplace; More Shopping,Up to 10% Cashback,,,https://www.topcashback.com.au/amazon/
Amber Sceats,Accessories; Fashion,9% Cashback,,,https://www.topcashback.com.au/amber-sceats/
American Tourister,Accessories; Fashion,5% Cashback,,,https://www.topcashback.com.au/american-tourister/
AMF Magnetics,Furniture,Up to 10% Cashback,,,https://www.topcashback.com.au/amf-magnetics/
Amore Mall,Cosmetics; Health and Beauty,6% Cashback,,,https://www.topcashback.com.au/amore-mall/
Anaconda,Activewear; Cyclingtest; Footwear; Fashion,2% Cashback,,,https://www.topcashback.com.au/anaconda/
